날짜,카테고리,출처,제목,요약,링크
2026-08-14,policy,정책브리핑 검색('교사'),"재외동포청, 중앙아시아 최초로 한글학교교사연수 개최재외동포청, 중앙아시아 최초로 한글학교교사연수 개최  - 카자흐스탄 알마티에서 중앙아 첫 전체 연수 개최  - 카자흐스탄, 키르기스스탄, 우즈베키스탄 3개국교사82명 참여  【관련 국정과제】 123. 재외국민 안전과 편익 증진 및 재외동포 지원 강화  □ 재외동포청(청장 김경협)은 8월 11일부터 14일까지 ...2026-08-13재외동포청",중앙아시아 한글학교 교사 82명 연수 참여,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774374&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-14&endDate=2026-08-14&srchWord=교사&period=
2026-08-14,policy,정책브리핑 검색('교육'),"""국민안전을 위한 새로운 비상(飛上)"" 충청·강원권 최신 국산 소방헬기 본격 임무 돌입... 밝혔다  .  ○  항공 안전의 날 행사는  6.22.(  월  )  부터 실시한 조종사와 정비사  ,  구조  ·  구급대원을 대상으로 기종 전환교육과 임무별 집중훈련을 마치고 운항을 시작하기에 앞서 항공대원들의 안전의식을 높이고  ,  기본과 원칙에 충실한 임무 수행을 다짐하기 위해 마련됐다  .  □  신규 ...2026-08-14소방청",소방헬기 대원 기종전환 교육 후 임무 개시,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774431&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-14&endDate=2026-08-14&srchWord=교육&period=
2026-08-14,policy,정책브리핑 검색('교육'),"교육부, 아셈-듀오 장학생 대상 수기 공모전 우수작 8개 선정교육부, 아셈-듀오 장학생 대상 수기 공모전 우수작 8개 선정2026-08-14교육부",아셈-듀오 장학생 수기 공모 우수작 8편 선정,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774430&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-14&endDate=2026-08-14&srchWord=교육&period=
2026-08-14,policy,정책브리핑 검색('교육'),"간병인 직접고용 현장 찾은 이형훈 제2차관, 요양병원 간병서비스 제도화 논의... 마련되었다.  서안산노인전문병원은 2024년부터 요양병원 간병지원 시범사업*에 참여하고 있는 기관으로, 병원이 간병인을 직접 고용·관리하고 체계적인교육과 근무 관리를 통해 양질의 간병서비스를 제공하고 있다.  * 통합판정심의를 통과한 중증환자 대상으로 간병비 일부 지원(국비) 및 간병인교육·관리를 ...2026-08-13보건복지부",요양병원 간병인 직접고용 및 교육 관리 논의,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774401&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-14&endDate=2026-08-14&srchWord=교육&period=
2026-08-14,policy,정책브리핑 검색('교육'),"동부지방산림청, 2026년 목재제품 품질단속 담당자교육실시동부지방산림청(청장 남송희)은 오는 8월 13일 각 국유림관리소 담당자를 대상으로 '2026년 목재제품 품질단속 담당자교육'을 실시했다고 밝혔다.  이번교육은 목재제품 유통 질서 확립을 목표로, 담당자의 목재제품 규격·품질 기준에 대한 이해도를 높이고 단속 및 품질관리 역량을 강화하기 위해 ...2026-08-13산림청",동부지방산림청 목재제품 품질단속 담당자 교육,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774385&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-14&endDate=2026-08-14&srchWord=교육&period=
2026-08-14,policy,정책브리핑 검색('교육'),"도전의 문은 넓히고, 지원은 두텁게「2차 모두의 창업 프로젝트 추진계획」 발표... 50개 내외 기업을 엄선하며, 기업당 최대 3개 솔루션을 제공한다.  또한, 지역 오디션 진출자에게는 과기정통부첨단 그래픽처리장치(GPU) 지원, 관세청맞춤형 수출교육및 무역통계 활용 등 범부처 지원 프로그램을 연계한다.  셋째, 「모두의 창업」 도전 이력을 공식 경력으로 인정하고, 우대한다. 모두의 창업 도전 이력을 담은 ...2026-08-13중소벤처기업부",창업 프로젝트 참여자 맞춤형 수출교육 연계 지원,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774380&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-14&endDate=2026-08-14&srchWord=교육&period=
2026-08-14,policy,정책브리핑 검색('교육'),"한국고용노동교육원-한국금융연수원, 노동·금융교육활성화를 위한 업무협약 체결교육과정·콘텐츠·전문가·시설 공유를 위한 업무협약 체결  한국고용노동교육원(원장 이종선, 이하 '교육원')과 한국금융연수원(원장 이준수, 이하 '연수원')은 8월 13일 노동·금융교육분야의 협력을 강화하고 양 기관의교육역량을 높이기 위한 업무협약을 체결했다고 ...2026-08-13고용노동부",고용노동교육원·금융연수원 교육협력 업무협약,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774376&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-14&endDate=2026-08-14&srchWord=교육&period=
2026-08-14,policy,정책브리핑 검색('교육'),"의료기관 조직문화 개선 특별진단 실시... 지속가능한 일터혁신을 위해 대한병원협회와 협력하여 현장 중심의 맞춤형 지원체계를 구축하고자 마련됐다.  * 보건복지부, 고용노동부, 노사발전재단, 한국고용노동교육원, 대한간호협회, 대한병원협회  양 기관은 협약을 통해 ①병원 특성을 반영한 조직문화 진단 및 맞춤형 컨설팅 지원, ②병원 업종 대상 일터혁신 상생컨설팅 공동 ...2026-08-13고용노동부",의료기관 조직문화 개선 특별진단 실시,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774375&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-14&endDate=2026-08-14&srchWord=교육&period=
2026-08-14,policy,정책브리핑 검색('교육'),"'능력개발전담주치의' 우수사례 경진대회 개최... 이병훈, 이하 '공단')은 13일 서울 보코 명동 그랜드홀(서울 중구)에서 능력개발전담주치의* 우수사례 경진대회를 개최했다.  * 능력개발전담주치의: 직원교육훈련이 필요한 중소기업을 대상으로 기업 상황을 진단하고 기업에 맞춤형 훈련을 처방해주는 HRD종합서비스  공단은 2023년부터 중소기업의 상황을 진단하고 맞춤형 훈련을 ...2026-08-13고용노동부",중소기업 맞춤형 교육훈련 우수사례 경진대회 개최,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774371&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-14&endDate=2026-08-14&srchWord=교육&period=
2026-08-14,policy,정책브리핑 검색('교육'),"재외동포청, 중앙아시아 최초로 한글학교 교사 연수 개최... 3개국 82명이 참가했다.  □ 이번 연수는 중앙아시아 지역 전체를 대상으로 열린 최초의 한글학교 교사 역량강화 연수로 고려인 교사와 한인 교사가 한자리에서교육경험을 나누고 교류하는 시간을 마련했다.  □ 알마티한국교육원에서 진행한 이번 연수에서는 그림·전통문화·놀이·율동·요리 ...2026-08-13재외동포청",중앙아시아 한글학교 교사 역량강화 연수 진행,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774374&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-14&endDate=2026-08-14&srchWord=교육&period=
2026-08-14,policy,정책브리핑 검색('교육'),"천안시 아동학대의심 사망사건 관련 위기아동 보호체계 강화 위한 관계부처 긴급 회의... 14시 30분 현수엽 보건복지부 제1차관 주재로 위기아동 보호체계 강화를 위한 관계부처 긴급 회의*를 천안시청에서 개최하였다.  * (참석기관) 보건복지부,교육부, 경찰청, 충청남도, 천안시, 충남교육청 등  이번 회의는 최근 천안시에서 발생한 아동학대의심사망사건과 관련하여, 보호조치 및 정보연계 과정 등 현장 보호체계의 ...2026-08-13보건복지부",아동학대 사망 관련 부처 긴급 보호체계 회의,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774367&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-14&endDate=2026-08-14&srchWord=교육&period=
2026-08-14,policy,정책브리핑 검색('교육'),[보도자료] 국가교육위원회 2026년 제8차 회의 개최□ 대통령 소속 행정위원회인 국가교육위원회(위원장 차정인)는 8월 13일(목) 오후 2시 30분 정부서울청사(413호)에서 2026년 제8차 회의를 개최한다.2026-08-13국가교육위원회,국가교육위원회 2026년 8차 회의 개최,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774362&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-14&endDate=2026-08-14&srchWord=교육&period=
2026-08-14,policy,정책브리핑 검색('교육'),"농식품 공공데이터와 인공지능(AI)으로 농업·농촌의 현안을 해결한다... 영에 참여하였다  .  *  한국농어촌공사  ,  한국농수산식품유통공사  ,  한국마사회  ,  축산물품질평가원  ,  농림식품기술기획평  가원  ,  농림수산식품교육문화정보원  ,  농업정책보험금융원  ,  한국농업기술진흥원  지난  4  월  1  일부터  6  월  30  일까지 진행된 공모에는 총  290  점의 작품이 ...2026-08-13농림축산식품부",농식품 공공데이터·AI 활용 농업 현안 해결 공모,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774365&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-14&endDate=2026-08-14&srchWord=교육&period=
2026-08-14,policy,정책브리핑 검색('교육'),"수의계약 횟수·금액 제한하고 공금 횡령 차단 행안부, 지방정부 신뢰 회복 총력... 이상거래  정보를 연계해 지방정부의 회계감사에 적극 활용하도록 하고  ,  지출 결재권자와  사업  ·  회계 담당 공무원에 대한 공금 횡령 예방교육도 강화하여 현장의 내부  통제 역량을 높여나갈 계획이다  .  윤호중 장관은  ""  편법적 수의계약과 공금 횡령은 지방정부에 대한 주민의 신뢰를 무너뜨리는 ...2026-08-13행정안전부",지방정부 공금 횡령 예방교육 및 내부통제 강화,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774360&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-14&endDate=2026-08-14&srchWord=교육&period=
2026-08-14,policy,정책브리핑 검색('교육'),"청년내일저축계좌 가입 저소득 청년, 3년 새 월 소득 50만 원 넘게 증가... 수행되었으며, 사업참여 전후 가입자의 사회·경제적 변화와 2025년부터 시행한 금융특화서비스 제공사업*의 성과를 분석하였다.  * 청년 맞춤형 금융교육과 재무상담을 제공하는 사업  <  청년내일저축계좌 참여자 패널조사 연구 개요  >  연구기관  :  동국대 산학협력단  (  연구책임자  :  최상미 ...2026-08-13보건복지부",저소득 청년 맞춤형 금융교육·재무상담 성과 분석,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774327&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-14&endDate=2026-08-14&srchWord=교육&period=
2026-08-14,policy,정책브리핑 검색('교육'),인공지능(AI) 인재 양성을 위하여 대학과 기업이 머리를 맞댑니다인공지능(AI) 인재 양성을 위하여 대학과 기업이 머리를 맞댑니다2026-08-13교육부,AI 인재 양성 위해 대학·기업 협력 추진,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774330&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-14&endDate=2026-08-14&srchWord=교육&period=
2026-08-15,policy,정책브리핑 검색('학교'),"내일이 더 빛나는, 대체불가 대한민국 제81주년 광복절 경축식 개최...  나라사랑 태극기 달기  '  운동 전개  이번 광복절을 맞아 총  283  명이 독립 유공 포상 대상자로 선정되었다  .  경축식장에서는 황해도 안신여학교교사로서 여성 계몽 활동에 앞장서고 임시정부 활동을 적극 지원한  故  최준례 여사  (  김구 선생의 배우자  )  의 후손을 포함해 독립유공자 후손  5 ...2026-08-15행정안전부","제81주년 광복절 경축식, 독립유공자 283명 포상",https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774542&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-15&endDate=2026-08-15&srchWord=학교&period=
2026-08-15,policy,정책브리핑 검색('교사'),"내일이 더 빛나는, 대체불가 대한민국 제81주년 광복절 경축식 개최... 나라사랑 태극기 달기  '  운동 전개  이번 광복절을 맞아 총  283  명이 독립 유공 포상 대상자로 선정되었다  .  경축식장에서는 황해도 안신여학교교사로서 여성 계몽 활동에 앞장서고 임시정부 활동을 적극 지원한  故  최준례 여사  (  김구 선생의 배우자  )  의 후손을 포함해 독립유공자 후손  5  명에게 ...2026-08-15행정안전부",광복절 경축식서 독립유공자 후손 포함 포상 진행,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774542&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-15&endDate=2026-08-15&srchWord=교사&period=
2026-08-18,education,한국교육과정평가원(KICE) 보도자료,[교육부] 2029학년도 대학수학능력시험은 2028년 11월 16일(목)에 시행됩니다,"2029 수능, 2028년 11월 16일 시행 확정",https://www.kice.re.kr#contents
2026-08-18,policy,전교조 보도자료,[취재요청서] 세종 유치원 교사 아동학대 2심 판결 결과 관련 기자회견,세종 유치원 교사 아동학대 2심 판결 기자회견,https://www.eduhope.net:443/bbs/board.php?bo_table=maybbs_eduhope_4&wr_id=245393&menu_id=2010
2026-08-18,policy,전교조 보도자료,[보도자료] 박영환 전교조 위원장 아동학대 관련 법 개정 촉구 1인 시위,"전교조 위원장, 아동학대 법 개정 촉구 1인 시위",https://www.eduhope.net:443/bbs/board.php?bo_table=maybbs_eduhope_4&wr_id=245391&menu_id=2010
2026-08-18,policy,전교조 보도자료,[공동보도자료] 지방교육재정교부금 개편안 국무회의 상정 저지 기자회견,지방교육재정교부금 개편안 국무회의 상정 저지 회견,https://www.eduhope.net:443/bbs/board.php?bo_table=maybbs_eduhope_4&wr_id=245390&menu_id=2010
2026-08-18,policy,정책브리핑 검색('학교'),[8.19.수.조간] 방역과 일상을 함께 지키기 위한 「감염병 위기 사회대응 매뉴얼」방역과 일상을 함께 지키…,감염병 위기 사회대응 매뉴얼 마련,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774701&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-18&endDate=2026-08-18&srchWord=학교&period=
2026-08-18,policy,정책브리핑 검색('학교'),"노동교육원,학교현장 근로자 노동권익 교육 실시한다... 한국고용노동교육원(원장 이종선, 이하 '교육원')이…",학교 현장 근로자 대상 노동권익 교육 실시,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774668&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-18&endDate=2026-08-18&srchWord=학교&period=
2026-08-18,policy,정책브리핑 검색('학교'),"아시아 6개국 축산 연구자, 한국서 젖소 개량 기술 익힌다...  4  주간 진행된다  .  개회식과 본격적…","아시아 6개국 연구자, 한국서 젖소 개량 기술 연수",https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774573&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-18&endDate=2026-08-18&srchWord=학교&period=
2026-08-18,policy,정책브리핑 검색('학교'),"중앙재난안전대책본부장, 8.15~17 호우 상황 점검 및 수습대책 논의... 불편함 없이 지내실 수 있도록…",8.15~17 호우 피해 수습 대책 점검,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774560&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-18&endDate=2026-08-18&srchWord=학교&period=
2026-08-18,policy,정책브리핑 검색('학교'),"비료가 병해충 방제·발근촉진? 농관원, 과대광고 등 163건 시정조치국립농산물품질관리원  (  원장 김철…",비료 과대광고 등 163건 시정조치,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774661&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-18&endDate=2026-08-18&srchWord=학교&period=
2026-08-18,policy,정책브리핑 검색('교육'),"""제12회 쌀의 날(8월 18일)"" 행사 개최 과거·현재·미래를 잇는 우리 쌀의 가치를 만나다... 우수 브…",제12회 쌀의 날 행사 개최,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774704&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-18&endDate=2026-08-18&srchWord=교육&period=
2026-08-18,policy,정책브리핑 검색('교육'),"국민 권리보호는 두텁게, 중대범죄는 엄정하게 10월2일 출범 위한 중수청법 하위법령 국무회의 의결... 이상…","중수청법 하위법령 국무회의 의결, 10월 출범",https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774706&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-18&endDate=2026-08-18&srchWord=교육&period=
2026-08-18,policy,정책브리핑 검색('교육'),[8.19.수.조간] 방역과 일상을 함께 지키기 위한 「감염병 위기 사회대응 매뉴얼」... 반영했다.  코로…,감염병 위기 사회대응 매뉴얼 마련,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774701&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-18&endDate=2026-08-18&srchWord=교육&period=
2026-08-18,policy,정책브리핑 검색('교육'),2026년 임업직불금 의무교육8월 31일까지 이수하세요2026년 임업직불금 의무교육8월 31일까지 이수하세요…,임업직불금 의무교육 8월 31일까지 이수 안내,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774684&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-18&endDate=2026-08-18&srchWord=교육&period=
2026-08-18,policy,정책브리핑 검색('교육'),"9인의 국가무형유산 전승자들, 국립고궁박물관 전문가와 왕실 공예의 비밀 탐구국가유산청 국립고궁박물관(관장 배…","국가무형유산 전승자, 왕실 공예 전문가 탐구 행사",https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774675&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-18&endDate=2026-08-18&srchWord=교육&period=
2026-08-18,policy,정책브리핑 검색('교육'),불합리한 고용관행 근절을 위한 공공부문 비정규직 집중감독... 사항에 대해서는 신속히 바로잡도록 지도할 예정…,공공부문 비정규직 불합리 고용관행 집중 감독,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774669&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-18&endDate=2026-08-18&srchWord=교육&period=
2026-08-18,policy,정책브리핑 검색('교육'),"노동교육원, 학교현장 근로자 노동권익교육실시한다- 근로기준법 배우고 '노동권익' 지킨다 -  □ 한국고용노동…",학교 현장 근로자 대상 노동권익 교육 실시,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774668&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-18&endDate=2026-08-18&srchWord=교육&period=
2026-08-18,policy,정책브리핑 검색('교육'),숲을 지키는 사람들을 만나다… 안동산림항공관리소 청소년 진로체험 진행... 청소년의 눈높이에 맞춘 다양한 체…,"산림항공관리소, 청소년 진로체험 프로그램 진행",https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774664&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-18&endDate=2026-08-18&srchWord=교육&period=
2026-08-18,policy,정책브리핑 검색('교육'),"[보도참고] 식약처, 제약혁신기술 국제세미나·교육으로 제약업계 GMP 역량 높인다[보도참고] 식약처, 제약혁…","식약처, 제약업계 GMP 역량 강화 국제 교육 세미나",https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774655&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-18&endDate=2026-08-18&srchWord=교육&period=
2026-08-18,policy,정책브리핑 검색('교육'),올해 경북 중심 일부 이른 모내기 농가 중만생종 벼 이삭패는 시기 2~3주 빨라… '실제 이삭팰 때' 맞춰…,일부 지역 벼 이삭 패는 시기 2~3주 빨라져,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774619&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-18&endDate=2026-08-18&srchWord=교육&period=
